id,cleaned_text,sentiment,category
234,my experience at the hospital has been excellent,positive,Fear of Future
953,i received the prescribed medication as planned,neutral,Communication
730,the results are pending so i cannot comment fully,neutral,Additional Positive Terms
774,the service was average not particularly good or bad,neutral,Treatment Concerns
163,ive been experiencing insensitive in my recovery,negative,Additional Negative Terms
1973,there is no ramification in my condition,negative,Side Effects
816,the treatment results are yet to be seen,neutral,Additional Negative Terms
310,the latest tests show my condition is dejected and excessive,negative,Additional Negative Terms
388,i did not feel heard during my consultation,negative,Fear of Future
933,although the treatment is dissatisfied i still feel baffled,negative,Additional Negative Terms
505,the medication caused side effects and discomfort,negative,Frustration
1010,there is no progressing and generous in my condition,positive,Additional Positive Terms
353,im looking forward to a damaging and fallout future,negative,Side Effects
877,the process was standard and nothing unusual,neutral,Hope for Future
1498,i feel outlandish and deteriorating about the information i received,negative,Additional Negative Terms
982,i am waiting for further diagnosis before forming an opinion,neutral,Emotional Wellbeing
420,the hospital staff seemed inattentive to my concerns,negative,Treatment Concerns
41,i felt comfortable and respected during my consultation,positive,Pain and Discomfort
615,ive been dealing with a bellicose and vicious feeling in my joints,negative,Additional Negative Terms
1457,im experiencing unbending levels of discomfort,negative,Additional Negative Terms
799,there is no functional logical and hardy in my condition,positive,Physical Improvement
203,the medication has improved my symptoms significantly,positive,Depression and Hopelessness
302,the treatment plan was effective and reassuring,positive,Hope for Future
1927,im finding the new medication uncommon,negative,Additional Negative Terms
370,the doctors explanation was rushed and unhelpful,negative,Physical Improvement
730,the results are pending so i cannot comment fully,neutral,Additional Positive Terms
580,the treatment plan felt confusing and unclear,negative,Trust in Healthcare
648,the treatment plan felt confusing and unclear,negative,Additional Positive Terms
123,i feel confident about my recovery after the treatment,positive,Financial Concerns
956,the overall experience was acceptable but not exceptional,neutral,Hope for Future
120,i feel optimistic about the results of the therapy,positive,Communication
1344,my general disposition has been unlettered and hesitant,negative,Additional Negative Terms
54,i feel optimistic about the results of the therapy,positive,Financial Concerns
369,the cost of treatment has been overwhelming,negative,Communication
1315,im finding the new medication discouraged hopeless and extravagant,negative,Depression and Hopelessness
79,im looking forward to a outcomes and unacceptable future,negative,Side Effects
170,i trust the healthcare team with my recovery,positive,Pain and Discomfort
1275,i am not wholesome enough and caring with the treatment,positive,Additional Positive Terms
948,i received the prescribed medication as planned,neutral,Frustration
1936,the improvements are rarely ample,positive,Additional Positive Terms
764,the results are pending so i cannot comment fully,neutral,Treatment Concerns
1443,i feel savage and thoughtless when discussing my health with the doctor,negative,Additional Negative Terms
867,i received the prescribed medication as planned,neutral,Physical Improvement
558,the medication caused side effects and discomfort,negative,Fear of Future
1613,the pain is ferocious,negative,Additional Negative Terms
649,the doctors explanation was rushed and unhelpful,negative,Emotional Wellbeing
1407,the communication with the clinic has been soothing and spirited,positive,Additional Positive Terms
220,i feel confident about my recovery after the treatment,positive,Financial Concerns
777,the hospital environment was clean and organized,neutral,Hope for Future
99,the treatment plan was effective and reassuring,positive,Social Support
16,ive been experiencing clear knowledgeable and adaptable in my recovery,positive,Trust in Healthcare
1380,the explanation was not disadvantageous,negative,Additional Negative Terms
754,the process was standard and nothing unusual,neutral,Treatment Response
525,my symptoms have not improved despite the treatment,negative,Frustration
811,the treatment results are yet to be seen,neutral,Emotional Wellbeing
634,i am dissatisfied with the overall communication,negative,Pain and Discomfort
758,the process was standard and nothing unusual,neutral,Additional Positive Terms
348,the doctors explanation was rushed and unhelpful,negative,Social Support
1819,im noticing following changes in my daily life,positive,Cooperation
94,the doctor was very supportive and explained everything clearly,positive,Treatment Concerns
1222,i do not have cooperative responsive and peaceful in my healthcare team,positive,Additional Positive Terms
82,im noticing sideeffect and unwilling changes in my daily life,negative,Side Effects
960,the service was average not particularly good or bad,neutral,Trust in Healthcare
997,i am waiting for further diagnosis before forming an opinion,neutral,Fear of Future
765,i hardly feel sharp anymore,negative,Pain and Discomfort
1781,i am not prepared affirmative and consistent about my condition,positive,Additional Positive Terms
186,my symptoms are counterproductive prohibitive and dispirited,negative,Depression and Hopelessness
443,my recovery has not been detailed and encouraging,positive,Communication
727,the hospital environment was clean and organized,neutral,Financial Concerns
1963,im feeling quite humane cooperative and manageable about my prognosis,positive,Additional Positive Terms
936,the treatment results are yet to be seen,neutral,Pain and Discomfort
1605,my health is not equilibrated and happy,positive,Additional Positive Terms
966,im looking forward to a integrated genial and adopted future,positive,Clarity
910,i am not seeing combative signs of progress,negative,Additional Negative Terms
548,the treatment plan felt confusing and unclear,negative,Additional Negative Terms
221,i was hoping to feel assimilated but instead i feel promising,positive,Clarity
787,i feel displeased uncaring and weak regarding my care,negative,Additional Negative Terms
1552,my symptoms are not defeating and costly,negative,Additional Negative Terms
2,i trust the healthcare team with my recovery,positive,Frustration
177,i feel optimistic about the results of the therapy,positive,Emotional Wellbeing
242,i feel optimistic about the results of the therapy,positive,Depression and Hopelessness
1386,the explanation was not mild,positive,Additional Positive Terms
1111,this whole situation has made me feel fearless versatile and validated,positive,Trust in Healthcare
1048,ive been feeling consequence and impaired about my energy levels,negative,Side Effects
875,the communication with the clinic has been aggressive and reaction,negative,Side Effects
1875,the explanation was not disabled dominating and perplexed,negative,Limitations
401,i did not feel heard during my consultation,negative,Pain and Discomfort
793,the latest tests show my condition is irregular and fearful,negative,Additional Negative Terms
168,the nurses were caring and attentive during my stay,positive,Emotional Wellbeing
884,the hospital environment was clean and organized,neutral,Communication
397,the cost of treatment has been overwhelming,negative,Depression and Hopelessness
986,the results are pending so i cannot comment fully,neutral,Trust in Healthcare
592,ive been experiencing disinclined critical and escalated due to side effects,negative,Additional Negative Terms
265,i am hopeful about my future health progress,positive,Treatment Response
351,the medication is not making me feel wanting,negative,Additional Negative Terms
345,the medication is not making me feel misapprehended,negative,Communication Issues
1182,my symptoms are uneasy averse and neglected,negative,Additional Negative Terms
897,the consultation was neither too long nor too short,neutral,Additional Positive Terms
983,overall my health is feeling humanitarian content and resilient,positive,Additional Positive Terms
1592,ive been experiencing indebted and beneficial in my recovery,positive,Additional Positive Terms
311,my mood has been bellicose since starting the new regimen,negative,Additional Negative Terms
533,the latest tests show my condition is refractory and upset,negative,Emotional Distress
232,the path to recovery feels sensible,positive,Communication
1624,i feel remarkable regarding my care,positive,Additional Positive Terms
225,the doctor was very supportive and explained everything clearly,positive,Hope for Future
918,im hopeful the pain will become reassuring soon,positive,Additional Positive Terms
751,the hospital environment was clean and organized,neutral,Fear of Future
225,the doctor was very supportive and explained everything clearly,positive,Hope for Future
640,the doctors explanation was rushed and unhelpful,negative,Financial Concerns
404,the waiting time was too long and frustrating,negative,Communication
299,my mood has not been atrocious misconstrued and extreme,negative,Additional Negative Terms
608,i am dissatisfied with the overall communication,negative,Hope for Future
1928,im hopeful the pain will become poor and hostile soon,negative,Mistrust
883,the treatment results are yet to be seen,neutral,Financial Concerns
152,i felt comfortable and respected during my consultation,positive,Hope for Future
680,today i feel unsupportable and hindered,negative,Additional Negative Terms
1574,my health is not content accompanied and buoyant,positive,Additional Positive Terms
591,i do not have resolved in my healthcare team,positive,Hope for Future
970,i received the prescribed medication as planned,neutral,Physical Improvement
814,i have rejuvenating in my healthcare team,positive,Additional Positive Terms
729,the treatment results are yet to be seen,neutral,Financial Concerns
489,i feel hopeless about my condition,negative,Communication
160,the treatment plan was effective and reassuring,positive,Financial Concerns
1294,i felt despondent insensible and terrified during my last consultation,negative,Depression and Hopelessness
839,the treatment results are yet to be seen,neutral,Hope for Future
1766,this whole situation has made me feel inadequate harsh and advanced,negative,Additional Negative Terms
670,the appointment went as expected,neutral,Fear of Future
685,the consultation was neither too long nor too short,neutral,Depression and Hopelessness
450,i feel hopeless about my condition,negative,Pain and Discomfort
340,i do not have resolved in my healthcare team,positive,Hope for Future
1005,the treatment plan is not mistrustful and failing,negative,Worsening Condition
1274,my symptoms are becoming more suspicious poor and upset,negative,Emotional Distress
1681,the side effects are not discontented and uninvolved,negative,Additional Negative Terms
359,the waiting time was too long and frustrating,negative,Social Support
494,i felt sophisticated and springy during my last consultation,positive,Additional Positive Terms
1466,i am not seeing dire signs of progress,negative,Additional Negative Terms
720,i am waiting for further diagnosis before forming an opinion,neutral,Social Support
1224,although the treatment is aching i still feel abhorrent,negative,Additional Negative Terms
1260,ive been experiencing productive resolved and wholesome due to side effects,positive,Additional Positive Terms
572,i feel hopeless about my condition,negative,Financial Concerns
1958,my mood has been inconsiderate and inimical since starting the new regimen,negative,Additional Negative Terms
203,the medication has improved my symptoms significantly,positive,Depression and Hopelessness
85,the communication with the clinic has been remote,negative,Additional Negative Terms
1623,i was hoping to feel afraid but instead i feel overpowering,negative,Additional Negative Terms
217,the nurses were caring and attentive during my stay,positive,Pain and Discomfort
999,the overall experience was acceptable but not exceptional,neutral,Emotional Wellbeing
104,the medication has improved my symptoms significantly,positive,Trust in Healthcare
1266,im whole with how the treatment is going,positive,Additional Positive Terms
496,i feel responsible receptive and relieving about the information i received,positive,Additional Positive Terms
53,the medication has improved my symptoms significantly,positive,Additional Positive Terms
1789,the treatment plan is not adaptable,positive,Additional Positive Terms
20,i feel optimistic about the results of the therapy,positive,Frustration
25,i felt comfortable and respected during my consultation,positive,Communication
1625,i have tenderness and mystified in my healthcare team,negative,Pain and Discomfort
184,my experience at the hospital has been excellent,positive,Additional Positive Terms
521,the cost of treatment has been overwhelming,negative,Depression and Hopelessness
727,the hospital environment was clean and organized,neutral,Financial Concerns
992,the appointment went as expected,neutral,Financial Concerns
116,the nurses were caring and attentive during my stay,positive,Physical Improvement
504,i feel hopeless about my condition,negative,Financial Concerns
904,my symptoms are nuanced robust and regenerative,positive,Additional Positive Terms
751,the hospital environment was clean and organized,neutral,Fear of Future
456,the cost of treatment has been overwhelming,negative,Financial Concerns
1408,i found the doctors explanation very regulated,positive,Additional Positive Terms
597,my mood has not been genial honest and sheltered,positive,Social Support
377,my symptoms have not improved despite the treatment,negative,Financial Concerns
508,the hospital staff seemed inattentive to my concerns,negative,Additional Positive Terms
854,the service was average not particularly good or bad,neutral,Hope for Future
286,the explanation was not unreasonable sequela and ramifications,negative,Side Effects
809,im distant with how the treatment is going,negative,Additional Negative Terms
681,im hopeful the pain will become malign panicked and insubstantial soon,negative,Additional Negative Terms
613,the cost of treatment has been overwhelming,negative,Trust in Healthcare
427,the doctors explanation was rushed and unhelpful,negative,Frustration
217,the nurses were caring and attentive during my stay,positive,Pain and Discomfort
995,each day im feeling a little more unconcerned,negative,Additional Negative Terms
1394,although the treatment is logical i still feel heard,positive,Trust in Healthcare
219,i am not seeing ineffective defeating and faint signs of progress,negative,Additional Negative Terms
1733,im inflexible shut and disheartened about my condition,negative,Additional Negative Terms
1857,ive been experiencing gloomy in my recovery,negative,Depression and Hopelessness
629,the improvements are rarely mystified unreceptive and adverse,negative,Additional Negative Terms
656,the treatment plan felt confusing and unclear,negative,Social Support
185,i am not seeing consistent and lookingforward signs of progress,positive,Communication
729,the treatment results are yet to be seen,neutral,Financial Concerns
888,im noticing impermissible changes in my daily life,negative,Additional Negative Terms
442,i did not feel heard during my consultation,negative,Trust in Healthcare
326,this whole situation has made me feel beneficial committed and assured,positive,Treatment Response
798,i am waiting for further diagnosis before forming an opinion,neutral,Hope for Future
1511,the medication is not making me feel irregular,negative,Additional Negative Terms
1273,the side effects are uninformed helpless and subduing,negative,Additional Negative Terms
51,the nurses were caring and attentive during my stay,positive,Treatment Response
442,i did not feel heard during my consultation,negative,Trust in Healthcare
371,my symptoms are becoming more inflexible unsound and untrusting,negative,Additional Negative Terms
687,i received the prescribed medication as planned,neutral,Fear of Future
1450,i do not feel expert,positive,Independence
903,the consultation was neither too long nor too short,neutral,Social Support
157,there is no throbbing in my condition,negative,Pain and Discomfort
1081,this whole situation has made me feel mischaracterized inhumane and ineffective,negative,Depression and Hopelessness
1343,i am not unmindful and antagonistic with the treatment,negative,Additional Negative Terms
612,each day im feeling a little more frightened detached and consequences,negative,Side Effects
277,the medication has improved my symptoms significantly,positive,Communication
739,the overall experience was acceptable but not exceptional,neutral,Fear of Future
634,i am dissatisfied with the overall communication,negative,Pain and Discomfort
115,the nurses were caring and attentive during my stay,positive,Fear of Future
707,im feeling quite uninterested about my prognosis,negative,Additional Negative Terms
238,i do not have agony in my healthcare team,negative,Pain and Discomfort
1404,im feeling elevated about continuing this course of treatment,negative,Worsening Condition
386,i am dissatisfied with the overall communication,negative,Hope for Future
344,i am dissatisfied with the overall communication,negative,Social Support
1085,my general disposition has been tranquil,positive,Comfort
167,the nurses were caring and attentive during my stay,positive,Frustration
1718,overall my health is feeling impaired and deleterious,negative,Limitations
15,the nurses were caring and attentive during my stay,positive,Depression and Hopelessness
1284,each day im feeling a little more acute and atrocious,negative,Additional Negative Terms
824,i received the prescribed medication as planned,neutral,Emotional Wellbeing
148,im experiencing respected and encouraged levels of discomfort,positive,Social Support
473,i did not feel heard during my consultation,negative,Communication
335,my mood has not been fearless and helped,positive,Social Support
342,the treatment plan felt confusing and unclear,negative,Frustration
1561,i am not seeing versatile signs of progress,positive,Independence
743,the process was standard and nothing unusual,neutral,Financial Concerns
17,the treatment plan was effective and reassuring,positive,Trust in Healthcare
988,the process was standard and nothing unusual,neutral,Hope for Future
375,i am not relieving and passionate about my condition,positive,Hope for Future
1135,i found the doctors explanation very restoring attaining and hopeful,positive,Additional Positive Terms
955,i am waiting for further diagnosis before forming an opinion,neutral,Physical Improvement
556,the waiting time was too long and frustrating,negative,Depression and Hopelessness
